Structure,Operation,Data_Size,Execution_Time_ms,Rotations,Key_Comparisons,Insertion_Fixups,Deletion_Fixups,Search_Depth,Nodes_Visited,Color_Changes
AVL Tree,Insert,32,0.046,21,0,14,0,0,0,0
AVL Tree,Search,32,0.014,0,139,0,0,139,139,0
AVL Tree,Remove,32,0.019,14,0,0,0,0,0,0
RedBlack Tree,Insert,32,0.024,20,0,23,0,0,0,58
RedBlack Tree,Search,32,0.013,0,139,0,0,139,139,0
RedBlack Tree,Remove,32,0.014,2,103,0,3,103,103,12
OpenHashMap,Insert,32,0.018,0,105,0,0,105,105,0
OpenHashMap,Search,32,0.009,0,73,0,0,73,73,0
OpenHashMap,Remove,32,0.18,0,591,0,0,591,591,0
ExternHashMap,Insert,32,0.067,0,31,0,0,31,31,0
ExternHashMap,Search,32,0.023,0,46,0,0,46,46,0
ExternHashMap,Remove,32,0.025,0,40,0,0,40,40,0
AVL Tree,Insert,64,0.09,35,0,23,0,0,0,0
AVL Tree,Search,64,0.028,0,298,0,0,298,298,0
AVL Tree,Remove,50,0.035,11,0,0,0,0,0,0
RedBlack Tree,Insert,64,0.046,30,0,39,0,0,0,99
RedBlack Tree,Search,64,0.029,0,295,0,0,295,295,0
RedBlack Tree,Remove,50,0.024,3,218,0,3,218,218,16
OpenHashMap,Insert,64,0.034,0,195,0,0,195,195,0
OpenHashMap,Search,64,0.014,0,99,0,0,99,99,0
OpenHashMap,Remove,50,0.377,0,1179,0,0,1179,1179,0
ExternHashMap,Insert,64,0.144,0,77,0,0,77,77,0
ExternHashMap,Search,64,0.043,0,83,0,0,83,83,0
ExternHashMap,Remove,50,0.037,0,54,0,0,54,54,0
AVL Tree,Insert,128,0.178,51,0,34,0,0,0,0
AVL Tree,Search,100,0.049,0,511,0,0,511,511,0
AVL Tree,Remove,50,0.037,5,0,0,0,0,0,0
RedBlack Tree,Insert,128,0.096,45,0,62,0,0,0,166
RedBlack Tree,Search,100,0.048,0,515,0,0,515,515,0
RedBlack Tree,Remove,50,0.027,2,258,0,1,258,258,12
OpenHashMap,Insert,128,0.07,0,410,0,0,410,410,0
